Actual Traffic Volume,Predicted Traffic Volume,Actual Congestion Level,Predicted Congestion Level,Recommendation
5034.0,4658.741,High,High,Avoid peak hours or consider an alternative route.
4784.0,4774.013,High,High,Avoid peak hours or consider an alternative route.
5065.0,4924.632,High,High,Avoid peak hours or consider an alternative route.
5589.0,5317.4434,High,High,Avoid peak hours or consider an alternative route.
6559.0,6200.7944,High,High,Avoid peak hours or consider an alternative route.
6104.0,5712.4194,High,High,Avoid peak hours or consider an alternative route.
4405.0,4434.2515,Medium,Medium,Expect moderate delays and allow extra travel time.
3001.0,3138.6074,Medium,Medium,Expect moderate delays and allow extra travel time.
2604.0,2717.1553,Medium,Medium,Expect moderate delays and allow extra travel time.
2931.0,2509.6594,Medium,Medium,Expect moderate delays and allow extra travel time.
3488.0,1962.3704,Medium,Low,Traffic conditions are favorable.
1125.0,1106.5154,Low,Low,Traffic conditions are favorable.
583.0,670.3121,Low,Low,Traffic conditions are favorable.
327.0,455.68784,Low,Low,Traffic conditions are favorable.
270.0,389.34592,Low,Low,Traffic conditions are favorable.
336.0,348.6894,Low,Low,Traffic conditions are favorable.
336.0,351.67477,Low,Low,Traffic conditions are favorable.
887.0,888.04913,Low,Low,Traffic conditions are favorable.
887.0,887.09247,Low,Low,Traffic conditions are favorable.
2944.0,2816.006,Medium,Medium,Expect moderate delays and allow extra travel time.
2944.0,2816.548,Medium,Medium,Expect moderate delays and allow extra travel time.
5614.0,5512.978,High,High,Avoid peak hours or consider an alternative route.
5614.0,5513.015,High,High,Avoid peak hours or consider an alternative route.
6228.0,5920.0337,High,High,Avoid peak hours or consider an alternative route.
6228.0,5891.645,High,High,Avoid peak hours or consider an alternative route.
5842.0,5562.476,High,High,Avoid peak hours or consider an alternative route.
5842.0,5560.9775,High,High,Avoid peak hours or consider an alternative route.
5145.0,4921.0103,High,High,Avoid peak hours or consider an alternative route.
5145.0,4936.3306,High,High,Avoid peak hours or consider an alternative route.
4552.0,4471.7505,Medium,Medium,Expect moderate delays and allow extra travel time.
4552.0,4429.151,Medium,Medium,Expect moderate delays and allow extra travel time.
4623.0,4583.465,High,High,Avoid peak hours or consider an alternative route.
4926.0,4678.049,High,High,Avoid peak hours or consider an alternative route.
5315.0,5099.7383,High,High,Avoid peak hours or consider an alternative route.
5315.0,5091.589,High,High,Avoid peak hours or consider an alternative route.
5681.0,5546.9526,High,High,Avoid peak hours or consider an alternative route.
5681.0,5551.1724,High,High,Avoid peak hours or consider an alternative route.
6602.0,6308.099,High,High,Avoid peak hours or consider an alternative route.
6602.0,6318.838,High,High,Avoid peak hours or consider an alternative route.
6128.0,5835.0264,High,High,Avoid peak hours or consider an alternative route.
6128.0,5865.9595,High,High,Avoid peak hours or consider an alternative route.
4520.0,4422.089,Medium,Medium,Expect moderate delays and allow extra travel time.
4520.0,4413.264,Medium,Medium,Expect moderate delays and allow extra travel time.
2986.0,3229.5432,Medium,Medium,Expect moderate delays and allow extra travel time.
2642.0,2716.684,Medium,Medium,Expect moderate delays and allow extra travel time.
2642.0,2690.7646,Medium,Medium,Expect moderate delays and allow extra travel time.
2642.0,2681.084,Medium,Medium,Expect moderate delays and allow extra travel time.
2342.0,2505.585,Medium,Medium,Expect moderate delays and allow extra travel time.
2342.0,2531.455,Medium,Medium,Expect moderate delays and allow extra travel time.
2342.0,2515.2656,Medium,Medium,Expect moderate delays and allow extra travel time.
1596.0,1951.0404,Low,Low,Traffic conditions are favorable.
1596.0,2019.2933,Low,Low,Traffic conditions are favorable.
1596.0,1933.4619,Low,Low,Traffic conditions are favorable.
1115.0,1132.6393,Low,Low,Traffic conditions are favorable.
1115.0,1129.5172,Low,Low,Traffic conditions are favorable.
1115.0,1127.6608,Low,Low,Traffic conditions are favorable.
568.0,728.0881,Low,Low,Traffic conditions are favorable.
568.0,718.68756,Low,Low,Traffic conditions are favorable.
568.0,725.9563,Low,Low,Traffic conditions are favorable.
352.0,458.90222,Low,Low,Traffic conditions are favorable.
352.0,459.85886,Low,Low,Traffic conditions are favorable.
291.0,417.33032,Low,Low,Traffic conditions are favorable.
291.0,376.52097,Low,Low,Traffic conditions are favorable.
391.0,359.4994,Low,Low,Traffic conditions are favorable.
855.0,849.01556,Low,Low,Traffic conditions are favorable.
855.0,851.0443,Low,Low,Traffic conditions are favorable.
855.0,851.0443,Low,Low,Traffic conditions are favorable.
2869.0,2646.166,Medium,Medium,Expect moderate delays and allow extra travel time.
2869.0,2635.6963,Medium,Medium,Expect moderate delays and allow extra travel time.
4869.0,5288.4434,High,High,Avoid peak hours or consider an alternative route.
4869.0,5291.893,High,High,Avoid peak hours or consider an alternative route.
4869.0,5284.354,High,High,Avoid peak hours or consider an alternative route.
4601.0,5617.5615,High,High,Avoid peak hours or consider an alternative route.
4601.0,5987.702,High,High,Avoid peak hours or consider an alternative route.
4475.0,5209.2607,Medium,High,Avoid peak hours or consider an alternative route.
4475.0,5247.608,Medium,High,Avoid peak hours or consider an alternative route.
4021.0,4638.3394,Medium,High,Avoid peak hours or consider an alternative route.
3559.0,4269.853,Medium,Medium,Expect moderate delays and allow extra travel time.
3559.0,4262.026,Medium,Medium,Expect moderate delays and allow extra travel time.
3524.0,4514.392,Medium,Medium,Expect moderate delays and allow extra travel time.
3524.0,4393.342,Medium,Medium,Expect moderate delays and allow extra travel time.
3587.0,4684.4185,Medium,High,Avoid peak hours or consider an alternative route.
3587.0,4700.3374,Medium,High,Avoid peak hours or consider an alternative route.
3293.0,4246.0684,Medium,Medium,Expect moderate delays and allow extra travel time.
3293.0,4726.9907,Medium,High,Avoid peak hours or consider an alternative route.
3557.0,4580.484,Medium,High,Avoid peak hours or consider an alternative route.
3557.0,4902.143,Medium,High,Avoid peak hours or consider an alternative route.
4081.0,5397.653,Medium,High,Avoid peak hours or consider an alternative route.
4081.0,5329.99,Medium,High,Avoid peak hours or consider an alternative route.
4269.0,5898.3335,Medium,High,Avoid peak hours or consider an alternative route.
4178.0,5443.726,Medium,High,Avoid peak hours or consider an alternative route.
4178.0,5495.6514,Medium,High,Avoid peak hours or consider an alternative route.
3130.0,4350.946,Medium,Medium,Expect moderate delays and allow extra travel time.
2480.0,3244.7952,Medium,Medium,Expect moderate delays and allow extra travel time.
2251.0,3078.7976,Medium,Medium,Expect moderate delays and allow extra travel time.
2081.0,2738.6829,Low,Medium,Expect moderate delays and allow extra travel time.
1450.0,2419.2065,Low,Low,Traffic conditions are favorable.
949.0,1494.8771,Low,Low,Traffic conditions are favorable.
566.0,747.59125,Low,Low,Traffic conditions are favorable.
335.0,446.03162,Low,Low,Traffic conditions are favorable.
272.0,379.49768,Low,Low,Traffic conditions are favorable.
353.0,389.65625,Low,Low,Traffic conditions are favorable.
828.0,857.1711,Low,Low,Traffic conditions are favorable.
2728.0,2385.6663,Medium,Medium,Expect moderate delays and allow extra travel time.
4791.0,5105.9736,High,High,Avoid peak hours or consider an alternative route.
5517.0,5526.9756,High,High,Avoid peak hours or consider an alternative route.
4240.0,5272.001,Medium,High,Avoid peak hours or consider an alternative route.
4565.0,4756.7236,Medium,High,Avoid peak hours or consider an alternative route.
3988.0,4440.076,Medium,Medium,Expect moderate delays and allow extra travel time.
4440.0,4542.9395,Medium,High,Avoid peak hours or consider an alternative route.
4958.0,4839.868,High,High,Avoid peak hours or consider an alternative route.
4928.0,4839.868,High,High,Avoid peak hours or consider an alternative route.
5078.0,5113.0737,High,High,Avoid peak hours or consider an alternative route.
5560.0,5494.762,High,High,Avoid peak hours or consider an alternative route.
5779.0,5514.6353,High,High,Avoid peak hours or consider an alternative route.
4677.0,4655.441,High,High,Avoid peak hours or consider an alternative route.
3348.0,3141.3218,Medium,Medium,Expect moderate delays and allow extra travel time.
2690.0,2853.156,Medium,Medium,Expect moderate delays and allow extra travel time.
2573.0,2836.1033,Medium,Medium,Expect moderate delays and allow extra travel time.
2440.0,2617.4644,Medium,Medium,Expect moderate delays and allow extra travel time.
1654.0,1733.3969,Low,Low,Traffic conditions are favorable.
1032.0,1264.8345,Low,Low,Traffic conditions are favorable.
601.0,790.2498,Low,Low,Traffic conditions are favorable.
467.0,567.0914,Low,Low,Traffic conditions are favorable.
361.0,500.32425,Low,Low,Traffic conditions are favorable.
388.0,480.44208,Low,Low,Traffic conditions are favorable.
647.0,786.97455,Low,Low,Traffic conditions are favorable.
1175.0,1382.3169,Low,Low,Traffic conditions are favorable.
1720.0,1867.1517,Low,Low,Traffic conditions are favorable.
2582.0,2602.4177,Medium,Medium,Expect moderate delays and allow extra travel time.
3473.0,3202.764,Medium,Medium,Expect moderate delays and allow extra travel time.
3916.0,3698.7808,Medium,Medium,Expect moderate delays and allow extra travel time.
4155.0,4047.179,Medium,Medium,Expect moderate delays and allow extra travel time.
4379.0,4467.9976,Medium,Medium,Expect moderate delays and allow extra travel time.
4595.0,4485.308,High,Medium,Expect moderate delays and allow extra travel time.
4212.0,4465.8022,Medium,Medium,Expect moderate delays and allow extra travel time.
3941.0,4520.5566,Medium,Medium,Expect moderate delays and allow extra travel time.
3601.0,4575.07,Medium,Medium,Expect moderate delays and allow extra travel time.
3374.0,4192.2275,Medium,Medium,Expect moderate delays and allow extra travel time.
3141.0,3873.972,Medium,Medium,Expect moderate delays and allow extra travel time.
3479.0,3147.7798,Medium,Medium,Expect moderate delays and allow extra travel time.
3429.0,2861.3918,Medium,Medium,Expect moderate delays and allow extra travel time.
4055.0,2835.816,Medium,Medium,Expect moderate delays and allow extra travel time.
2990.0,2637.757,Medium,Medium,Expect moderate delays and allow extra travel time.
1872.0,2023.9116,Low,Low,Traffic conditions are favorable.
1210.0,1299.7388,Low,Low,Traffic conditions are favorable.
756.0,800.55615,Low,Low,Traffic conditions are favorable.
494.0,553.9671,Low,Low,Traffic conditions are favorable.
313.0,467.82776,Low,Low,Traffic conditions are favorable.
271.0,349.10553,Low,Low,Traffic conditions are favorable.
474.0,470.55603,Low,Low,Traffic conditions are favorable.
735.0,882.85596,Low,Low,Traffic conditions are favorable.
1880.0,1594.6163,Low,Low,Traffic conditions are favorable.
2567.0,2249.336,Medium,Medium,Expect moderate delays and allow extra travel time.
3338.0,2749.3015,Medium,Medium,Expect moderate delays and allow extra travel time.
3771.0,3316.117,Medium,Medium,Expect moderate delays and allow extra travel time.
3771.0,3230.2063,Medium,Medium,Expect moderate delays and allow extra travel time.
4175.0,3753.95,Medium,Medium,Expect moderate delays and allow extra travel time.
4175.0,3776.1274,Medium,Medium,Expect moderate delays and allow extra travel time.
4567.0,3809.2493,Medium,Medium,Expect moderate delays and allow extra travel time.
4567.0,3801.1003,Medium,Medium,Expect moderate delays and allow extra travel time.
3873.0,3709.947,Medium,Medium,Expect moderate delays and allow extra travel time.
3873.0,3929.5403,Medium,Medium,Expect moderate delays and allow extra travel time.
3383.0,3643.166,Medium,Medium,Expect moderate delays and allow extra travel time.
3383.0,3878.2434,Medium,Medium,Expect moderate delays and allow extra travel time.
2769.0,3748.2925,Medium,Medium,Expect moderate delays and allow extra travel time.
2769.0,3826.3713,Medium,Medium,Expect moderate delays and allow extra travel time.
2769.0,3716.4531,Medium,Medium,Expect moderate delays and allow extra travel time.
2357.0,3262.9407,Medium,Medium,Expect moderate delays and allow extra travel time.
2357.0,3596.9773,Medium,Medium,Expect moderate delays and allow extra travel time.
2357.0,3492.6694,Medium,Medium,Expect moderate delays and allow extra travel time.
1935.0,3198.86,Low,Medium,Expect moderate delays and allow extra travel time.
1935.0,3713.175,Low,Medium,Expect moderate delays and allow extra travel time.
1800.0,2330.0657,Low,Medium,Expect moderate delays and allow extra travel time.
1800.0,2445.5134,Low,Medium,Expect moderate delays and allow extra travel time.
2218.0,2011.6406,Medium,Medium,Expect moderate delays and allow extra travel time.
2264.0,2027.671,Medium,Low,Traffic conditions are favorable.
2264.0,2216.45,Medium,Low,Traffic conditions are favorable.
2292.0,1753.1494,Medium,Low,Traffic conditions are favorable.
2292.0,1857.2544,Medium,Low,Traffic conditions are favorable.
2292.0,1694.9119,Medium,Low,Traffic conditions are favorable.
979.0,1083.0874,Low,Low,Traffic conditions are favorable.
979.0,1084.7168,Low,Low,Traffic conditions are favorable.
600.0,617.90894,Low,Low,Traffic conditions are favorable.
600.0,629.62146,Low,Low,Traffic conditions are favorable.
600.0,669.69727,Low,Low,Traffic conditions are favorable.
341.0,327.0118,Low,Low,Traffic conditions are favorable.
341.0,336.79187,Low,Low,Traffic conditions are favorable.
269.0,267.5505,Low,Low,Traffic conditions are favorable.
269.0,278.0129,Low,Low,Traffic conditions are favorable.
347.0,276.8064,Low,Low,Traffic conditions are favorable.
347.0,273.22073,Low,Low,Traffic conditions are favorable.
775.0,714.8796,Low,Low,Traffic conditions are favorable.
775.0,703.59106,Low,Low,Traffic conditions are favorable.
2183.0,2208.6099,Low,Medium,Expect moderate delays and allow extra travel time.
2183.0,2223.908,Low,Medium,Expect moderate delays and allow extra travel time.
2183.0,2110.09,Low,Medium,Expect moderate delays and allow extra travel time.
3637.0,3540.274,Medium,Medium,Expect moderate delays and allow extra travel time.
3637.0,3641.6936,Medium,High,Avoid peak hours or consider an alternative route.
3651.0,3828.3757,Medium,Medium,Expect moderate delays and allow extra travel time.
3651.0,3901.3442,Medium,Medium,Expect moderate delays and allow extra travel time.
3651.0,3839.9653,Medium,Medium,Expect moderate delays and allow extra travel time.
3231.0,3515.4773,Medium,Medium,Expect moderate delays and allow extra travel time.
3231.0,3526.9888,Medium,Medium,Expect moderate delays and allow extra travel time.
3410.0,2735.3013,Medium,Medium,Expect moderate delays and allow extra travel time.
3410.0,2737.0613,Medium,Medium,Expect moderate delays and allow extra travel time.
3307.0,2333.666,Medium,Medium,Expect moderate delays and allow extra travel time.
3307.0,2335.426,Medium,Medium,Expect moderate delays and allow extra travel time.
3638.0,2550.2297,Medium,Medium,Expect moderate delays and allow extra travel time.
3970.0,3522.5266,Medium,Medium,Expect moderate delays and allow extra travel time.
3970.0,3524.3044,Medium,Medium,Expect moderate delays and allow extra travel time.
4207.0,3579.0322,Medium,Medium,Expect moderate delays and allow extra travel time.
4207.0,4339.5283,Medium,Medium,Expect moderate delays and allow extra travel time.
4440.0,3861.834,Medium,Medium,Expect moderate delays and allow extra travel time.
4414.0,4269.8833,Medium,Medium,Expect moderate delays and allow extra travel time.
4414.0,4306.4834,Medium,Medium,Expect moderate delays and allow extra travel time.
4800.0,4805.283,High,Medium,Expect moderate delays and allow extra travel time.
4800.0,4770.461,High,Medium,Expect moderate delays and allow extra travel time.
4437.0,4550.526,Medium,Medium,Expect moderate delays and allow extra travel time.
3528.0,3047.2795,Medium,Medium,Expect moderate delays and allow extra travel time.
2611.0,1920.536,Medium,Medium,Expect moderate delays and allow extra travel time.
2162.0,1445.4346,Low,Medium,Expect moderate delays and allow extra travel time.
1977.0,1246.0099,Low,Low,Traffic conditions are favorable.
1430.0,870.09076,Low,Low,Traffic conditions are favorable.
888.0,164.30745,Low,Low,Traffic conditions are favorable.
494.0,580.29956,Low,Low,Traffic conditions are favorable.
